,units1,bidirectional1,dropout_rate1,units2,bidirectional2,dropout_rate2,units3,bidirectional3,dropout_rate3,end_conv_kernel_size1,end_conv_units1,n_mfcc,max_freq,frame_length,hop_length,window_type,f1,precision,recall,auc,accuracy,TP,TN,FP,FN
36,128,True,,64,True,70,,,,15,192,114,8500,880,55,triang,78.00,81.72,74.46,86.55,96.80,1822.25,29274.75,403.75,624.25
167,128,True,,128,True,75,,,,15,256,106,7500,880,220,bartlett,77.99,82.99,73.26,86.32,96.84,1796.00,29315.00,363.50,650.50
74,128,True,,64,True,50,,,,15,96,112,4500,880,110,bartlett,77.98,83.97,72.47,86.50,96.87,1778.00,29343.00,335.50,668.50
75,64,True,,128,True,60,,,,12,128,118,6000,880,55,tukey,77.96,80.98,75.09,86.55,96.77,1836.00,29251.00,427.50,610.50
192,192,True,,128,True,75,,,,15,192,48,8000,880,55,lanczos,77.96,82.51,73.55,86.28,96.82,1804.50,29300.00,378.50,642.00
121,128,True,,128,True,55,,,,9,256,106,10000,880,55,triang,77.95,82.06,74.03,86.70,96.81,1813.50,29285.25,393.25,633.00
160,128,False,,192,True,60,192,True,45,15,192,124,6500,880,220,triang,77.94,82.15,73.70,85.81,96.81,1808.50,29292.50,386.00,638.00
56,64,True,,128,False,55,,,,15,160,116,7500,440,110,bartlett,77.93,84.44,72.29,86.54,96.90,3514.25,58745.25,638.00,1352.50
107,256,False,,128,True,40,192,True,30,12,160,68,9500,440,55,bartlett,77.91,82.87,73.37,86.51,96.85,3571.00,58653.75,729.50,1295.75
47,128,False,,128,True,,,,,12,192,100,8500,880,55,lanczos,77.90,81.92,74.02,85.20,96.80,1813.25,29283.00,395.50,633.25
71,128,True,,128,True,80,,,,21,128,96,6500,880,220,hann,77.90,83.20,73.08,85.97,96.84,1790.25,29319.00,359.50,656.25
105,192,False,,128,True,,192,True,75,12,256,22,10000,880,55,hann,77.88,82.58,73.37,86.31,96.82,1799.50,29303.25,375.25,647.00
159,128,False,,128,True,65,,,,21,128,56,8000,880,55,tukey,77.87,82.45,73.60,86.59,96.81,1805.50,29293.25,385.25,641.00
163,128,True,,64,True,,64,True,,15,160,72,5000,880,55,lanczos,77.86,81.62,74.19,86.31,96.78,1816.75,29275.25,403.25,629.75
76,128,True,,64,True,,192,True,,18,96,100,3500,880,220,hamming,77.86,84.08,72.27,86.52,96.87,1769.75,29348.50,330.00,676.75
155,128,False,,128,True,65,256,True,35,15,160,24,6000,880,55,triang,77.81,83.59,72.64,86.18,96.84,1777.00,29334.25,344.25,669.50
174,128,True,,64,True,40,128,True,,18,224,110,8000,880,55,triang,77.81,82.07,73.47,85.84,96.80,1804.50,29291.00,387.50,642.00
149,192,False,,128,True,65,192,True,60,18,160,118,7000,880,55,bartlett,77.79,83.22,72.80,86.78,96.83,1783.00,29324.00,354.50,663.50
137,128,False,,128,True,,,,,15,160,98,7000,880,55,triang,77.74,81.39,74.35,86.23,96.75,1820.00,29262.50,416.00,626.50
198,192,True,,128,True,30,192,True,,18,160,108,8000,880,55,tukey,77.64,82.16,73.33,86.09,96.78,1796.75,29293.25,385.25,649.75
154,192,False,,128,True,60,192,False,55,21,224,32,8000,880,55,bartlett,77.63,80.99,74.62,86.24,96.73,1820.50,29255.50,423.00,626.00
96,256,False,,128,True,65,192,True,40,18,256,40,6000,880,55,bartlett,77.62,83.39,72.21,86.27,96.82,1771.75,29331.50,347.00,674.75
81,128,True,,64,True,,,,,15,160,86,5000,880,110,hamming,77.60,83.42,72.23,86.72,96.82,1771.50,29331.00,347.50,675.00
111,192,False,,128,True,,64,True,75,15,160,60,9000,880,55,lanczos,77.58,82.82,72.66,85.84,96.80,1780.50,29315.50,363.00,666.00
86,64,False,,128,False,,,,,18,224,108,8000,880,55,hamming,77.57,82.98,72.55,85.88,96.80,1776.75,29320.75,357.75,669.75
190,64,True,,128,True,,,,,9,256,102,6000,880,55,bartlett,77.54,83.45,71.90,86.29,96.81,1766.75,29334.75,343.75,679.75
94,128,True,,192,True,55,,,,12,128,26,6500,880,110,triang,77.54,83.31,72.34,85.79,96.81,1771.00,29328.00,350.50,675.50
122,64,False,,128,False,40,,,,15,160,74,4000,880,55,bartlett,77.53,83.61,72.10,86.51,96.82,1763.75,29339.00,339.50,682.75
147,192,False,,128,True,75,256,True,25,18,224,90,5000,880,55,bartlett,77.53,83.81,72.11,86.59,96.82,1763.25,29339.75,338.75,683.25
120,192,True,,64,True,45,128,True,,18,192,122,7000,880,110,hann,77.50,79.82,74.87,85.48,96.67,1844.75,29209.00,469.50,601.75
141,192,False,,192,True,60,,,,12,160,58,4500,880,220,triang,77.32,81.81,73.12,85.46,96.73,1789.75,29285.50,393.00,656.75
156,192,False,,64,True,70,128,True,20,18,192,66,9000,880,55,hann,77.30,81.97,72.57,85.69,96.74,1784.00,29293.00,385.50,662.50
70,64,True,,64,True,35,,,,24,160,124,7000,880,220,bartlett,77.22,82.49,72.53,85.19,96.75,1772.50,29307.00,371.50,674.00
133,128,True,,,,,,,,9,192,102,6000,440,55,triang,77.21,82.40,72.25,85.84,96.76,3531.00,58634.50,748.75,1335.75
142,128,True,,128,False,70,,,,18,128,114,5500,880,55,lanczos,77.17,81.10,73.44,85.90,96.69,1796.50,29265.25,413.25,650.00
186,256,True,,64,True,50,256,False,40,15,192,18,6000,880,55,bartlett,77.16,82.00,72.68,85.35,96.72,1777.25,29295.50,383.00,669.25
168,192,False,,64,False,65,192,False,40,21,224,92,6000,880,55,tukey,77.14,82.05,72.48,85.83,96.72,1776.25,29296.25,382.25,670.25
184,128,True,,128,True,40,64,True,70,18,96,74,10000,880,55,triang,77.12,81.42,72.85,85.26,96.69,1790.00,29272.75,405.75,656.50
132,192,True,,64,True,30,,,,18,256,48,3500,880,110,bartlett,77.11,83.55,71.26,85.38,96.77,1746.50,29341.75,336.75,700.00
90,128,True,,64,True,25,,,,15,64,92,9500,880,55,hann,77.11,82.46,71.69,85.31,96.74,1764.00,29313.50,365.00,682.50
199,128,False,,64,True,60,,,,15,256,124,2500,880,220,bartlett,77.09,83.46,71.36,85.69,96.77,1747.25,29339.25,339.25,699.25
38,128,True,,64,True,,,,,18,128,94,5000,880,110,tukey,77.04,81.76,72.72,85.28,96.70,1778.00,29287.50,391.00,668.50
176,64,True,,,,,,,,12,192,126,6500,440,55,bartlett,77.01,83.09,71.55,85.68,96.76,3487.25,58681.00,702.25,1379.50
196,128,True,,192,False,30,192,False,65,18,128,40,5500,880,55,hann,77.00,82.09,72.16,85.93,96.71,1769.25,29298.75,379.75,677.25
104,192,False,,192,False,45,256,True,50,15,160,34,8500,880,55,bartlett,76.96,81.42,72.96,85.65,96.68,1781.25,29277.25,401.25,665.25
5,256,True,,192,True,60,192,False,,27,64,56,2000,440,220,hamming,76.92,84.34,70.33,85.14,96.80,3431.50,58759.75,623.50,1435.25
136,192,True,,64,False,20,256,True,,21,96,104,2000,880,55,hann,76.90,81.94,72.27,85.46,96.67,1778.00,29278.75,399.75,668.50
78,128,True,,256,True,80,,,,24,64,104,7500,880,440,lanczos,76.87,81.73,72.15,84.59,96.68,1770.25,29289.25,389.25,676.25
79,64,True,,,,,,,,12,128,112,3000,440,55,bartlett,76.85,82.71,71.36,84.82,96.73,3483.00,58668.00,715.25,1383.75
50,128,True,,64,True,50,,,,15,224,76,8000,440,110,triang,76.66,84.47,69.90,85.96,96.77,3408.00,58766.75,616.50,1458.75
19,128,False,,,,,,,,21,128,106,6500,880,220,hamming,76.56,82.71,71.02,85.16,96.68,1741.25,29317.50,361.00,705.25
17,128,False,40,,,,,,,24,128,28,7500,880,55,lanczos,76.47,83.18,70.41,84.68,96.69,1726.50,29336.00,342.50,720.00
22,64,True,,,,,,,,27,32,98,4000,880,220,hamming,76.42,81.47,71.68,84.43,96.63,1756.00,29285.50,393.00,690.50
57,128,True,,,,,,,,15,160,64,1500,880,55,lanczos,76.41,80.43,72.55,84.43,96.59,1775.50,29253.25,425.25,671.00
29,64,True,,64,True,80,,,,24,96,80,3500,880,220,hamming,76.41,83.33,69.78,85.11,96.69,1722.00,29339.50,339.00,724.50
64,192,True,,192,False,65,,,,21,64,20,2500,880,55,triang,76.40,83.47,70.14,85.19,96.69,1719.00,29343.75,334.75,727.50
97,256,False,,,,,,,,15,224,54,7500,440,55,bartlett,76.37,81.29,71.77,85.17,96.63,3498.50,58586.00,797.25,1368.25
20,192,True,,,,,,,,27,64,88,4500,880,220,hamming,76.32,80.54,72.32,84.43,96.58,1770.00,29256.50,422.00,676.50
21,192,True,,,,,,,,21,32,74,5000,880,220,hamming,76.29,82.90,70.33,84.66,96.66,1725.75,29326.75,351.75,720.75
135,128,True,,192,True,40,,,,12,128,18,6500,880,440,lanczos,76.28,82.25,71.02,84.01,96.64,1736.75,29308.25,370.25,709.75
106,192,False,,128,True,20,256,True,60,15,224,26,8000,880,440,triang,76.23,80.30,72.30,83.87,96.56,1770.75,29249.75,428.75,675.75
58,192,False,,64,True,40,256,True,40,12,128,84,6500,880,440,hann,76.15,81.19,71.25,83.80,96.59,1749.25,29279.75,398.75,697.25
140,128,True,,64,True,35,64,False,75,15,224,10,6000,880,55,bartlett,76.14,82.87,70.02,84.75,96.65,1718.00,29330.50,348.00,728.50
162,192,False,,128,False,50,,,,18,256,94,4000,880,440,bartlett,76.13,84.26,69.27,84.59,96.69,1694.75,29367.25,311.25,751.75
54,192,True,,192,True,45,192,False,55,9,128,104,4000,880,440,triang,76.09,81.17,71.38,84.45,96.58,1748.50,29277.50,401.00,698.00
85,192,True,,64,True,35,,,,15,96,66,4000,880,440,triang,76.07,82.32,70.51,84.63,96.62,1726.75,29312.00,366.50,719.75
169,192,True,,128,True,,,,,18,160,14,8500,880,55,triang,75.99,81.95,70.63,84.60,96.60,1730.00,29301.75,376.75,716.50
92,128,True,,,,,,,,27,96,118,9000,440,55,hamming,75.97,82.50,69.85,84.28,96.64,3414.50,58675.00,708.25,1452.25
53,128,True,,,,,,,,12,256,50,6000,440,55,bartlett,75.91,83.42,69.74,85.05,96.66,3385.00,58717.00,666.25,1481.75
138,64,True,,,,,,,,18,192,64,7500,440,110,bartlett,75.85,81.06,71.11,84.18,96.57,3460.75,58586.00,797.25,1406.00
83,128,True,,128,True,40,256,False,65,9,192,72,6000,440,220,bartlett,75.81,82.60,69.64,84.49,96.62,3399.25,58681.75,701.50,1467.50
25,192,True,,,,,,,,21,64,88,9500,880,220,hamming,75.78,81.73,70.33,83.86,96.56,1729.00,29290.50,388.00,717.50
88,128,True,25,,,,,,,12,128,126,4500,440,55,lanczos,75.77,83.85,68.77,83.77,96.65,3361.00,58739.75,643.50,1505.75
188,256,True,,,,,,,,18,224,44,7500,440,55,triang,75.56,81.67,70.05,84.08,96.56,3414.50,58626.75,756.50,1452.25
131,128,False,,128,True,,,,,21,128,38,5500,880,55,tukey,75.55,83.48,68.76,84.90,96.60,1686.00,29348.00,330.50,760.50
112,128,False,,64,True,35,256,False,,12,224,84,10000,880,440,hann,75.35,82.70,68.68,83.69,96.56,1690.50,29328.25,350.25,756.00
102,192,False,,,,,,,,9,192,34,9000,440,55,bartlett,75.23,81.79,69.58,83.85,96.53,3382.25,58640.25,743.00,1484.50
60,64,True,,,,,,,,21,224,34,5000,880,110,bartlett,75.21,82.69,68.65,83.23,96.54,1685.50,29328.25,350.25,761.00
175,192,False,,128,False,70,,,,15,160,28,3000,880,220,hann,75.20,83.20,68.40,83.85,96.56,1676.00,29343.75,334.75,770.50
171,128,False,20,,,,,,,,,82,6500,880,55,hamming,75.08,80.79,69.98,83.35,96.46,1711.25,29277.50,401.00,735.25
144,256,False,45,128,True,,128,True,,,,108,4000,880,55,bartlett,75.02,82.01,68.86,83.31,96.50,1687.50,29313.50,365.00,759.00
195,256,False,75,128,True,70,,,,,,62,7000,880,55,bartlett,75.01,82.05,68.95,83.11,96.50,1685.75,29315.75,362.75,760.75
139,256,False,55,128,True,25,,,,,,128,8500,880,55,tukey,75.00,79.76,70.59,83.08,96.41,1727.75,29245.25,433.25,718.75
114,128,True,,192,True,75,128,True,50,,,82,5000,880,55,triang,74.94,81.42,69.33,82.90,96.47,1694.50,29297.50,381.00,752.00
23,192,False,,,,,,,,21,96,52,3500,880,220,hamming,74.89,81.07,69.66,83.20,96.45,1700.25,29284.75,393.75,746.25
0,256,True,,256,True,50,128,True,25,,,78,6500,880,55,triang,74.70,82.36,68.11,83.29,96.48,1669.25,29325.00,353.50,777.25
44,128,True,55,128,True,,,,,,,120,7000,880,55,bartlett,74.69,80.32,69.72,82.82,96.41,1703.50,29267.00,411.50,743.00
189,192,False,30,192,False,35,192,True,,,,116,9000,880,110,tukey,74.64,81.07,69.04,82.17,96.43,1689.00,29288.50,390.00,757.50
46,128,True,50,192,False,25,,,,,,84,3000,880,110,triang,74.59,80.37,69.34,82.68,96.39,1700.00,29266.75,411.75,746.50
185,192,False,,128,True,80,,,,12,32,38,7500,880,440,hann,74.49,83.03,67.19,83.84,96.49,1647.50,29349.25,329.25,799.00
109,192,False,,192,True,30,128,True,45,9,192,10,8500,880,110,triang,74.47,83.30,67.09,82.96,96.49,1645.00,29352.00,326.50,801.50
182,64,True,,,,,,,,15,160,66,7000,440,55,lanczos,74.22,83.56,66.62,82.77,96.49,3247.00,58746.75,636.50,1619.75
42,128,True,80,128,True,,,,,,,98,8000,880,55,bartlett,74.19,81.13,68.15,82.65,96.38,1669.00,29294.75,383.75,777.50
98,192,False,45,128,False,60,256,True,20,,,48,7000,880,55,bartlett,74.19,81.44,67.95,82.44,96.40,1662.50,29305.75,372.75,784.00
103,256,False,65,128,True,50,256,True,65,,,62,8500,880,55,lanczos,74.18,82.39,67.15,82.16,96.43,1647.00,29331.25,347.25,799.50
134,64,False,30,128,True,80,192,False,30,,,72,7000,880,55,bartlett,74.16,82.38,67.38,82.63,96.43,1646.25,29331.50,347.00,800.25
11,256,False,,128,True,20,192,True,,,,118,2000,880,220,triang,73.93,80.52,67.98,81.61,96.34,1668.50,29279.75,398.75,778.00
3,128,True,30,256,False,,,,,12,128,10,7000,440,110,hann,73.87,81.82,67.32,82.93,96.39,3274.75,58658.00,725.25,1592.00
124,64,True,25,64,True,,,,,,,22,8500,880,55,tukey,73.86,80.90,67.52,81.62,96.35,1657.50,29294.50,384.00,789.00
119,128,False,35,192,True,70,,,,,,100,8000,880,55,bartlett,73.79,82.73,66.46,82.31,96.40,1626.50,29343.25,335.25,820.00
165,192,True,,,,,,,,18,192,36,7000,440,110,triang,73.55,81.73,66.37,82.14,96.36,3250.25,58662.00,721.25,1616.50
166,128,False,35,192,True,45,256,True,80,,,84,9500,880,55,hann,73.54,81.16,67.14,81.88,96.32,1641.25,29302.75,375.75,805.25
91,192,False,,128,False,,,,,24,160,58,2000,880,440,bartlett,73.54,81.64,66.51,81.28,96.35,1631.50,29319.50,359.00,815.00
62,128,True,,64,True,30,64,False,70,9,192,90,7000,440,55,tukey,73.48,83.60,65.23,82.01,96.42,3182.00,58770.75,612.50,1684.75
183,128,False,60,64,True,,,,,,,114,3500,880,220,bartlett,73.40,80.29,67.17,81.08,96.27,1651.50,29276.25,402.25,795.00
52,128,False,,128,True,,,,,,,20,9500,880,55,lanczos,73.40,81.50,66.52,81.53,96.32,1629.75,29313.75,364.75,816.75
84,64,True,55,,,,,,,,,116,7000,880,55,tukey,73.39,81.58,66.70,81.77,96.32,1630.75,29311.50,367.00,815.75
108,192,False,40,,,,,,,,,52,7000,880,55,tukey,73.13,80.29,67.04,81.21,96.25,1638.75,29282.25,396.25,807.75
49,192,False,25,128,True,55,256,False,80,,,12,4000,880,55,tukey,72.70,81.68,65.33,80.75,96.26,1598.25,29326.25,352.25,848.25
16,128,False,,,,,,,,9,96,42,8000,440,110,lanczos,72.46,83.61,63.46,80.56,96.33,3104.50,58785.25,598.00,1762.25
143,192,True,,,,,,,,12,256,122,4500,440,440,hamming,72.29,83.13,63.70,80.16,96.29,3120.50,59058.50,625.50,1766.75
10,128,True,45,,,,,,,12,160,64,6000,440,110,tukey,72.27,84.63,63.13,81.39,96.34,3064.75,58833.00,550.25,1802.00
93,64,True,75,64,True,60,,,,,,114,5000,880,220,tukey,72.14,79.65,65.77,80.67,96.13,1608.50,29274.25,404.25,838.00
51,64,True,80,192,False,30,64,False,80,18,192,122,2500,880,440,hann,72.11,82.35,63.51,80.78,96.23,1563.50,29352.00,326.50,883.00
27,192,True,,64,True,80,,,,24,64,70,5500,440,220,tukey,71.91,83.20,63.09,81.22,96.26,3076.00,58770.75,612.50,1790.75
170,128,True,,128,True,60,256,True,65,15,96,50,4500,440,440,bartlett,71.78,82.47,63.10,80.01,96.23,3098.25,59037.25,646.75,1789.00
48,64,True,,192,False,45,,,,9,160,92,10000,440,440,bartlett,71.32,83.07,62.08,79.88,96.21,3045.50,59076.50,607.50,1841.75
4,64,True,70,192,False,55,128,True,55,9,256,14,2000,880,440,hann,71.30,83.91,61.60,79.93,96.21,1512.50,29394.75,283.75,934.00
1,192,False,75,192,False,,128,False,,,,18,9000,880,110,triang,71.21,83.27,61.90,80.24,96.18,1518.75,29378.25,300.25,927.75
80,128,True,70,128,False,75,,,,,,80,6500,880,220,hann,70.99,81.67,62.50,79.15,96.10,1532.50,29340.25,338.25,914.00
55,256,False,50,,,,,,,,,70,1000,880,55,tukey,70.92,81.04,62.93,79.01,96.06,1542.00,29318.25,360.25,904.50
89,64,True,,192,True,70,64,True,,,,44,7500,880,220,triang,70.91,81.45,62.60,79.20,96.08,1535.00,29330.50,348.00,911.50
2,192,False,,,,,,,,15,192,58,4500,440,440,bartlett,70.78,83.01,61.45,78.87,96.15,3008.75,59077.75,606.25,1878.50
194,192,True,,,,,,,,12,160,82,6500,440,440,triang,70.73,83.28,61.01,78.60,96.15,3001.00,59086.75,597.25,1886.25
24,64,False,,,,,,,,24,224,30,5500,440,220,hamming,70.70,82.48,61.74,79.68,96.12,3004.25,58755.25,628.00,1862.50
113,192,False,75,,,,,,,15,192,14,8000,440,55,bartlett,70.33,82.47,61.15,79.40,96.09,2979.00,58758.00,625.25,1887.75
6,256,False,20,64,False,60,,,,15,160,44,8500,440,440,lanczos,69.37,84.66,58.23,77.65,96.08,2866.25,59174.00,510.00,2021.00
7,64,False,,,,,,,,,,120,7000,880,440,hamming,68.74,81.69,59.16,77.04,95.90,1448.25,29359.25,319.25,998.25
12,128,True,20,192,False,65,,,,,,86,7500,880,440,bartlett,68.52,80.17,59.52,76.65,95.82,1461.00,29321.25,357.25,985.50
129,256,True,70,64,True,45,192,True,,,,90,9000,880,440,triang,67.95,80.94,58.15,76.00,95.80,1429.25,29347.25,331.25,1017.25
177,128,False,65,64,True,,192,True,60,,,78,7000,880,440,bartlett,67.67,79.88,58.48,75.45,95.74,1433.50,29322.00,356.50,1013.00
