,bidirectional1,bidirectional2,bidirectional3,convolution_at_end,dropout1,dropout2,dropout3,dropout_rate1,dropout_rate2,dropout_rate3,end_conv_kernel_size1,end_conv_units1,frame_length,hop_length,if_block2,if_block3,max_freq,n_mfcc,units1,units2,units3,window_type,loss,accuracy,precision,recall,auc,TP,TN,FP,FN,f1,status
97,0,,,1,0,,,,,,15.0,224.0,0,0,0,,7500.0,54.0,256.0,,,3,-0.763656207366985,0.9662922620773315,0.8129382878541946,0.7177244871854782,0.8517415672540665,3498.5,58586.0,797.25,1368.25,0.763656207366985,ok
98,0,0.0,1.0,0,1,1.0,1.0,45.0,60.0,20.0,,,1,0,1,1.0,7000.0,48.0,192.0,128.0,256.0,3,-0.7418976962124171,0.9639900922775269,0.8143683969974518,0.6794501841068268,0.8243980556726456,1662.5,29305.75,372.75,784.0,0.7418976962124171,ok
99,0,1.0,1.0,1,0,0.0,1.0,,,40.0,18.0,192.0,1,0,1,1.0,6500.0,76.0,256.0,128.0,192.0,3,-0.79189966882024,0.9701681435108185,0.8435816168785095,0.7456029802560806,0.8747663795948029,1823.25,29343.5,335.0,623.25,0.79189966882024,ok
100,0,1.0,1.0,1,0,1.0,1.0,,70.0,65.0,15.0,192.0,1,0,1,1.0,8500.0,36.0,192.0,128.0,256.0,3,-0.7942583732057417,0.9698821604251862,0.8251653909683228,0.7616080194711685,0.8684322983026505,1867.5,29290.0,388.5,579.0,0.7942583732057417,ok
101,0,1.0,1.0,1,0,1.0,1.0,,70.0,70.0,12.0,224.0,1,0,1,1.0,9500.0,16.0,192.0,128.0,256.0,3,-0.7811407342657343,0.968821719288826,0.8374238461256027,0.7316374033689499,0.8663701415061951,1787.25,29336.25,342.25,659.25,0.7811407342657343,ok
102,0,,,1,0,,,,,,9.0,192.0,0,0,0,,9000.0,34.0,192.0,,,3,-0.7522798042704626,0.9653273671865463,0.8179029226303101,0.6958096921443939,0.8384929746389389,3382.25,58640.25,743.0,1484.5,0.7522798042704626,ok
103,0,1.0,1.0,0,1,1.0,1.0,65.0,50.0,65.0,,,1,0,1,1.0,8500.0,62.0,256.0,128.0,256.0,5,-0.741766593480831,0.9643009454011917,0.8238780349493027,0.6714540868997574,0.8215522468090057,1647.0,29331.25,347.25,799.5,0.741766593480831,ok
104,0,0.0,1.0,1,0,1.0,1.0,,45.0,50.0,15.0,160.0,1,0,1,1.0,8500.0,34.0,192.0,192.0,256.0,3,-0.7696046662346079,0.9667984694242477,0.8142090737819672,0.7296057939529419,0.8564699441194534,1781.25,29277.25,401.25,665.25,0.7696046662346079,ok
105,0,1.0,1.0,1,0,0.0,1.0,,,75.0,12.0,256.0,1,0,1,1.0,10000.0,22.0,192.0,128.0,192.0,0,-0.7787936164457668,0.968176394701004,0.8257551491260529,0.7336988896131516,0.8630873709917068,1799.5,29303.25,375.25,647.0,0.7787936164457668,ok
106,0,1.0,1.0,1,0,1.0,1.0,,20.0,60.0,15.0,224.0,1,3,1,1.0,8000.0,26.0,192.0,128.0,256.0,2,-0.7622686181661644,0.9656156152486801,0.8029555529356003,0.7229767441749573,0.838680699467659,1770.75,29249.75,428.75,675.75,0.7622686181661644,ok
107,0,1.0,1.0,1,0,1.0,1.0,,40.0,30.0,12.0,160.0,0,0,1,1.0,9500.0,68.0,256.0,128.0,192.0,3,-0.7790776950557692,0.9684756994247437,0.8286790251731873,0.7336837947368622,0.8650844097137451,3571.0,58653.75,729.5,1295.75,0.7790776950557692,ok
108,0,,,0,1,,,40.0,,,,,1,0,0,,7000.0,52.0,192.0,,,4,-0.7313399531406894,0.962518647313118,0.8029253035783768,0.6704276949167252,0.8120841085910797,1638.75,29282.25,396.25,807.75,0.7313399531406894,ok
109,0,1.0,1.0,1,0,1.0,1.0,,30.0,45.0,9.0,192.0,1,1,1,1.0,8500.0,10.0,192.0,192.0,128.0,2,-0.7446808510638298,0.9648832678794861,0.8330215811729431,0.6708813905715942,0.8295941054821014,1645.0,29352.0,326.5,801.5,0.7446808510638298,ok
110,0,0.0,0.0,1,0,1.0,0.0,,55.0,,15.0,224.0,1,0,1,1.0,7500.0,38.0,256.0,128.0,128.0,3,-0.7849479932472907,0.9692680090665817,0.8372316509485245,0.7358421236276627,0.8624631762504578,1801.75,29336.0,342.5,644.75,0.7849479932472907,ok
111,0,1.0,1.0,1,0,0.0,1.0,,,75.0,15.0,160.0,1,0,1,1.0,9000.0,60.0,192.0,128.0,64.0,5,-0.7758169934640523,0.96796715259552,0.8282389342784882,0.7265622764825821,0.8584106862545013,1780.5,29315.5,363.0,666.0,0.7758169934640523,ok
112,0,1.0,0.0,1,0,1.0,0.0,,35.0,,12.0,224.0,1,3,1,1.0,10000.0,84.0,128.0,64.0,256.0,0,-0.7534681597860605,0.9655623137950897,0.8269641548395157,0.686758503317833,0.8369335383176804,1690.5,29328.25,350.25,756.0,0.7534681597860605,ok
113,0,,,1,1,,,75.0,,,15.0,192.0,0,0,0,,8000.0,14.0,192.0,,,3,-0.7033408098217447,0.9608831107616425,0.8247285187244415,0.6114592552185059,0.793963611125946,2979.0,58758.0,625.25,1887.75,0.7033408098217447,ok
114,1,1.0,1.0,0,0,1.0,1.0,,75.0,50.0,,,1,0,1,1.0,5000.0,82.0,128.0,192.0,128.0,2,-0.7494471472799646,0.9647300392389297,0.8142119199037552,0.6933081150054932,0.8289708644151688,1694.5,29297.5,381.0,752.0,0.7494471472799646,ok
115,0,1.0,,1,0,1.0,,,60.0,,21.0,256.0,1,1,1,0.0,4500.0,88.0,256.0,128.0,,3,-0.7832691368740845,0.9689081609249115,0.8330070525407791,0.73687744140625,0.8676142990589142,1804.75,29321.5,357.0,641.75,0.7832691368740845,ok
116,1,0.0,1.0,1,0,1.0,0.0,,50.0,,12.0,160.0,1,0,1,1.0,5500.0,30.0,128.0,128.0,192.0,4,-0.7820294180345342,0.9681686162948608,0.8152801692485809,0.7505346238613129,0.8628783822059631,1834.25,29268.25,410.25,612.25,0.7820294180345342,ok
117,1,1.0,,1,0,0.0,,,,,18.0,192.0,1,0,1,0.0,6500.0,46.0,192.0,64.0,,2,-0.7837575496117343,0.9687911570072174,0.8282145708799362,0.7450933903455734,0.8675636649131775,1816.75,29305.75,372.75,629.75,0.7837575496117343,ok
118,1,,,1,0,,,,,,15.0,128.0,0,3,0,,1500.0,42.0,64.0,,,5,-0.609984147012197,0.9533212035894394,0.8279258757829666,0.48175907880067825,0.6980966776609421,2356.75,59200.75,483.25,2530.5,0.609984147012197,ok
119,0,1.0,,0,1,1.0,,35.0,70.0,,,,1,0,1,0.0,8000.0,100.0,128.0,192.0,,3,-0.737934554528441,0.9640354663133621,0.827296569943428,0.6645721793174744,0.8231178969144821,1626.5,29343.25,335.25,820.0,0.737934554528441,ok
120,1,1.0,1.0,1,0,1.0,0.0,,45.0,,18.0,192.0,1,1,1,1.0,7000.0,122.0,192.0,64.0,128.0,0,-0.7749829333613402,0.9666517376899719,0.798181802034378,0.7487236261367798,0.8548323214054108,1844.75,29209.0,469.5,601.75,0.7749829333613402,ok
121,1,1.0,,1,0,1.0,,,55.0,,9.0,256.0,1,0,1,0.0,10000.0,106.0,128.0,128.0,,2,-0.7794552194702628,0.9680514931678772,0.8206331878900528,0.7402888834476471,0.8669627457857132,1813.5,29285.25,393.25,633.0,0.7794552194702628,ok
122,0,0.0,,1,0,1.0,,,40.0,,15.0,160.0,1,0,1,0.0,4000.0,74.0,64.0,128.0,,3,-0.7753173251277543,0.9681774228811264,0.836148127913475,0.7209572196006775,0.865122526884079,1763.75,29339.0,339.5,682.75,0.7753173251277543,ok
123,1,,,1,0,,,,,,12.0,128.0,0,3,0,,7500.0,30.0,128.0,,,3,-0.6469697437957783,0.9557701200246811,0.813843160867691,0.533403605222702,0.7322579473257065,2616.75,59098.75,585.25,2270.5,0.6469697437957783,ok
124,1,1.0,,0,1,0.0,,25.0,,,,,1,0,1,0.0,8500.0,22.0,64.0,64.0,,4,-0.7386363636363636,0.9634854346513748,0.8090442568063736,0.675150066614151,0.8162303268909454,1657.5,29294.5,384.0,789.0,0.7386363636363636,ok
125,0,1.0,0.0,1,0,1.0,1.0,,75.0,60.0,18.0,224.0,1,0,1,1.0,5000.0,94.0,128.0,128.0,256.0,2,-0.7850048061518744,0.9686676263809204,0.8205415457487106,0.7503155469894409,0.8707540482282639,1837.5,29281.0,397.5,609.0,0.7850048061518744,ok
126,1,1.0,,1,0,1.0,,,65.0,,9.0,160.0,1,1,1,0.0,2500.0,54.0,192.0,128.0,,5,-0.7826461405964044,0.9685756862163544,0.8248700201511383,0.7429443001747131,0.8599467575550079,1817.5,29298.0,380.5,629.0,0.7826461405964044,ok
127,1,1.0,,1,0,1.0,,,50.0,,15.0,224.0,1,0,1,0.0,9500.0,68.0,128.0,192.0,,3,-0.7878072340882258,0.9692277908325195,0.8280974328517914,0.7465470284223557,0.8717060983181,1835.0,29301.5,377.0,611.5,0.7878072340882258,ok
128,0,,,1,0,,,,,,12.0,192.0,0,0,0,,3000.0,110.0,192.0,,,0,-0.7842470375468998,0.9688966274261475,0.8239496946334839,0.7460039556026459,0.8690767288208008,3631.75,58620.0,763.25,1235.0,0.7842470375468998,ok
129,1,1.0,1.0,0,1,1.0,0.0,70.0,45.0,,,,1,3,1,1.0,9000.0,90.0,256.0,64.0,192.0,2,-0.6794628000950796,0.9580199420452118,0.8094186633825302,0.5815346837043762,0.760015532374382,1429.25,29347.25,331.25,1017.25,0.6794628000950796,ok
130,1,0.0,,1,0,1.0,,,70.0,,15.0,160.0,1,0,1,0.0,8000.0,80.0,64.0,256.0,,3,-0.785110159757753,0.9679669886827469,0.8019496500492096,0.7677305042743683,0.8670424222946167,1879.75,29216.25,462.25,566.75,0.785110159757753,ok
131,0,1.0,,1,0,0.0,,,,,21.0,128.0,1,0,1,0.0,5500.0,38.0,128.0,128.0,,4,-0.755545597131974,0.9660354256629944,0.8347974866628647,0.6876416206359863,0.8490219265222549,1686.0,29348.0,330.5,760.5,0.755545597131974,ok
132,1,1.0,,1,0,1.0,,,30.0,,18.0,256.0,1,1,1,0.0,3500.0,48.0,192.0,64.0,,3,-0.7711242342292621,0.9677271842956543,0.8354673236608505,0.7125936597585678,0.85381680727005,1746.5,29341.75,336.75,700.0,0.7711242342292621,ok
133,1,,,1,0,,,,,,9.0,192.0,0,0,0,,6000.0,102.0,128.0,,,2,-0.7720986169573061,0.9675536006689072,0.8240029513835907,0.722521498799324,0.8584267199039459,3531.0,58634.5,748.75,1335.75,0.7720986169573061,ok
134,0,1.0,0.0,0,1,1.0,1.0,30.0,80.0,30.0,,,1,0,1,1.0,7000.0,72.0,64.0,128.0,192.0,3,-0.7415958105749197,0.9642851948738098,0.8238286674022675,0.6738134026527405,0.8262636959552765,1646.25,29331.5,347.0,800.25,0.7415958105749197,ok
135,1,1.0,,1,0,1.0,,,40.0,,12.0,128.0,1,3,1,0.0,6500.0,18.0,128.0,192.0,,5,-0.7628198089381795,0.9663776010274887,0.8224585801362991,0.7102167159318924,0.8400552421808243,1736.75,29308.25,370.25,709.75,0.7628198089381795,ok
136,1,0.0,1.0,1,0,1.0,0.0,,20.0,,21.0,96.0,1,0,1,1.0,2000.0,104.0,192.0,64.0,256.0,0,-0.7689895658755473,0.9667446911334991,0.8193917274475098,0.7227375954389572,0.8546276092529297,1778.0,29278.75,399.75,668.5,0.7689895658755473,ok
137,0,1.0,,1,0,0.0,,,,,15.0,160.0,1,0,1,0.0,7000.0,98.0,128.0,128.0,,2,-0.7773625200213561,0.9675460308790207,0.8138561993837357,0.7435078918933868,0.862331748008728,1820.0,29262.5,416.0,626.5,0.7773625200213561,ok
138,1,,,1,0,,,,,,18.0,192.0,0,1,0,,7500.0,64.0,64.0,,,3,-0.7585413298994493,0.9657050967216492,0.8106383085250854,0.7111257463693619,0.8417525589466095,3460.75,58586.0,797.25,1406.0,0.7585413298994493,ok
139,0,1.0,,0,1,1.0,,55.0,25.0,,,,1,0,1,0.0,8500.0,128.0,256.0,128.0,,4,-0.7499728703201303,0.9641371220350266,0.7975548803806305,0.7058586925268173,0.8307820707559586,1727.75,29245.25,433.25,718.75,0.7499728703201303,ok
140,1,1.0,0.0,1,0,1.0,1.0,,35.0,75.0,15.0,224.0,1,0,1,1.0,6000.0,10.0,128.0,64.0,64.0,3,-0.7614404432132964,0.9664887487888336,0.8287216275930405,0.7001766860485077,0.8474553823471069,1718.0,29330.5,348.0,728.5,0.7614404432132964,ok
141,0,1.0,,1,0,1.0,,,60.0,,12.0,160.0,1,2,1,0.0,4500.0,58.0,192.0,192.0,,2,-0.7732354053032349,0.9673216193914413,0.8180580735206604,0.7312225997447968,0.8546012192964554,1789.75,29285.5,393.0,656.75,0.7732354053032349,ok
142,1,0.0,,1,0,1.0,,,70.0,,18.0,128.0,1,0,1,0.0,5500.0,114.0,128.0,128.0,,5,-0.7716510067114094,0.9669001251459122,0.8109804838895798,0.7344350218772888,0.8590065985918045,1796.5,29265.25,413.25,650.0,0.7716510067114094,ok
143,1,,,1,0,,,,,,12.0,256.0,0,3,0,,4500.0,122.0,192.0,,,1,-0.722902730721339,0.9629480838775635,0.8312846124172211,0.6370000690221786,0.8015913963317871,3120.5,59058.5,625.5,1766.75,0.722902730721339,ok
144,0,1.0,1.0,0,1,0.0,0.0,45.0,,,,,1,0,1,1.0,4000.0,108.0,256.0,128.0,128.0,3,-0.750166703711936,0.9650090485811234,0.8200843930244446,0.6886274218559265,0.8331179767847061,1687.5,29313.5,365.0,759.0,0.750166703711936,ok
145,0,1.0,1.0,1,0,1.0,1.0,,65.0,45.0,18.0,192.0,1,0,1,1.0,6000.0,76.0,192.0,128.0,192.0,3,-0.784083007969193,0.9685822278261185,0.8198504745960236,0.7470239549875259,0.8671979904174805,1832.5,29283.25,395.25,614.0,0.784083007969193,ok
146,0,1.0,1.0,1,0,1.0,1.0,,65.0,35.0,21.0,192.0,1,0,1,1.0,6500.0,86.0,192.0,128.0,192.0,3,-0.7889250814332247,0.9697416871786118,0.8387716710567474,0.7413860112428665,0.8682582676410675,1816.5,29336.5,342.0,630.0,0.7889250814332247,ok
147,0,1.0,1.0,1,0,1.0,1.0,,75.0,25.0,18.0,224.0,1,0,1,1.0,5000.0,90.0,192.0,128.0,256.0,3,-0.7753105419369023,0.9681825041770935,0.8380758911371231,0.7211093306541443,0.8658677637577057,1763.25,29339.75,338.75,683.25,0.7753105419369023,ok
